chunk_id,document_id,chunk_index,text,text_length_chars,estimated_tokens,source_url,title,category,local_path
chunk_f653dec80d69ef416dae,doc_bb228fb7488deb48d6d2,0,"Sứ mạng của Trường Đại học Khoa học Tự nhiên (ĐHKHTN) là xây dựng thành trường đại học nghiên cứu tiên tiến, là trung tâm hàng đầu của Việt Nam về đào tạo, nghiên cứu khoa học, ứng dụng và chuyển giao công nghệ thuộc lĩnh vực khoa học tự nhiên và một số hướng công nghệ mũi nhọn gắn với khoa học cơ bản, góp phần tích cực vào sự nghiệp phát triển kinh tế, xã hội của đất nước. Ngoài việc xây dựng và nâng cao đội ngũ cán bộ giảng dạy, quản lý, các nhà khoa học uy tín, mở rộng hội nhập quốc tế,… công tác học sinh, sinh viên luôn được Nhà trường quan tâm. Nhà trường luôn coi học sinh, sinh viên là những “khách hàng” cần được phục vụ.",635,159,https://hus.vnu.edu.vn/hoc-sinh-sinh-vien/gioi-thieu-chung,Học sinh - Sinh viên,lecturer_profile,data\raw\web\2026-05-17\hus.vnu.edu.vn\hoc-sinh-sinh-vien__gioi-thieu-chung\index.html
chunk_395b4974905421711e26,doc_bb228fb7488deb48d6d2,1,"Ngoài việc xây dựng và nâng cao đội ngũ cán bộ giảng dạy, quản lý, các nhà khoa học uy tín, mở rộng hội nhập quốc tế,… công tác học sinh, sinh viên luôn được Nhà trường quan tâm. Nhà trường luôn coi học sinh, sinh viên là những “khách hàng” cần được phục vụ.
Sinh viên luôn được tạo điều kiện tốt nhất trong học tập: từ thông tin về chương trình đào tạo, các môn học, khai thác và sử dụng tài liệu học tập (sách, giáo trình, tạp chí, các dữ liệu online) đến việc tham gia nghiên cứu khoa học dưới sự hướng dẫn, giảng dạy của đội ngũ giáo sư, tiến sĩ, giảng viên uy tín, v.v…",574,144,https://hus.vnu.edu.vn/hoc-sinh-sinh-vien/gioi-thieu-chung,Học sinh - Sinh viên,lecturer_profile,data\raw\web\2026-05-17\hus.vnu.edu.vn\hoc-sinh-sinh-vien__gioi-thieu-chung\index.html
chunk_edcce6a676f7c01cbc42,doc_bb228fb7488deb48d6d2,2,"từ thông tin về chương trình đào tạo, các môn học, khai thác và sử dụng tài liệu học tập (sách, giáo trình, tạp chí, các dữ liệu online) đến việc tham gia nghiên cứu khoa học dưới sự hướng dẫn, giảng dạy của đội ngũ giáo sư, tiến sĩ, giảng viên uy tín, v.v…
Các học sinh, sinh viên thuộc gia đình chính sách như: con liệt sỹ, thương, bệnh binh, chất độc da cam… đều được Nhà trường giải quyết trợ cấp ưu đãi giáo dục theo quy định. Ngoài học bổng khuyến khích học tập theo quy định, sinh viên còn nhận được rất nhiều loại học bổng tài trợ của các tổ chức, cá nhân trong và ngoài nước với tổng số tiền học bổng tài trợ khoảng 4 tỷ đồng/1 năm.
Với thế mạnh về đào tạo và nghiên cứu khoa học cơ bản, Trường ĐHKHTN quan tâm, tạo mọi điều kiện thuận lợi từ phía nhà trườ",765,191,https://hus.vnu.edu.vn/hoc-sinh-sinh-vien/gioi-thieu-chung,Học sinh - Sinh viên,lecturer_profile,data\raw\web\2026-05-17\hus.vnu.edu.vn\hoc-sinh-sinh-vien__gioi-thieu-chung\index.html
chunk_0c9125365880fc3dfd4b,doc_bb228fb7488deb48d6d2,3,"Với thế mạnh về đào tạo và nghiên cứu khoa học cơ bản, Trường ĐHKHTN quan tâm, tạo mọi điều kiện thuận lợi từ phía nhà trườ
ng để phong trào nghiên cứu khoa học thực sự trở thành hoạt động sâu rộng trong toàn trường, thu hút ngày càng nhiều sinh viên tham gia với quy mô và chất lượng ngày càng cao. Các sinh viên đạt kết quả cao cấp trường sẽ được xét gửi công trình dự thi cấp ĐHQGHN, cấp Bộ Giáo dục và Đào tạo, được cộng điểm vào bảng thành tích học tập cũng như có cơ hội được nhận nhiều suất học bổng từ các tổ chức, doanh nghiệp trong và ngoài nước; có cơ hội được đi du học nước ngoài và có thể được giữ lại trường làm giảng viên sau khi tốt nghiệp.",657,164,https://hus.vnu.edu.vn/hoc-sinh-sinh-vien/gioi-thieu-chung,Học sinh - Sinh viên,lecturer_profile,data\raw\web\2026-05-17\hus.vnu.edu.vn\hoc-sinh-sinh-vien__gioi-thieu-chung\index.html
chunk_d54c39db3f8396394375,doc_bb228fb7488deb48d6d2,4,"trong và ngoài nước; có cơ hội được đi du học nước ngoài và có thể được giữ lại trường làm giảng viên sau khi tốt nghiệp.
Học sinh, sinh viên Trường ĐHKHTN còn được tham gia, thử sức mình trong mọi lĩnh vực: thể thao, văn hóa, nghệ thuật, xã hội, các hoạt đồng vì cộng đồng, v.v... Các hoạt động phong trào được triển khai thường xuyên suốt năm học như: Các hoạt động chào mừng ngày nhà giáo Việt Nam, cuộc thi Aerobic học sinh, sinh viên “Storm from HUS”, Festival tài năng học sinh, sinh viên, Festival thể thao ....
Hằng năm, học sinh sinh viên được tham gia các hoạt động tình nguyện vì cộng đồng “Sắc xanh tự nhiên”với các hoạt động chính như:",648,162,https://hus.vnu.edu.vn/hoc-sinh-sinh-vien/gioi-thieu-chung,Học sinh - Sinh viên,lecturer_profile,data\raw\web\2026-05-17\hus.vnu.edu.vn\hoc-sinh-sinh-vien__gioi-thieu-chung\index.html
chunk_aadda4e918c65104f788,doc_bb228fb7488deb48d6d2,5,"Hằng năm, học sinh sinh viên được tham gia các hoạt động tình nguyện vì cộng đồng “Sắc xanh tự nhiên”với các hoạt động chính như: “Tiếp sức mùa thi tuyển sinh THPT chuyên”, “Xung kích tại các địa phương”, “Làng trẻ”, “Đội sinh viên tình nguyện hoạt động vì môi trường”, v.v… Các hoạt động tình nguyện của Trường đã để lại nhiều dấu ấn và được ghi nhận tại các địa phương nơi đội xung kích hoạt động.
Trường Đại học Khoa học Tự nhiên thường xuyên tổ chức các hoạt động nhằm giáo dục chính trị - tư tưởng, đạo đức, lối sống; cũng như luôn quan tâm đến công tác quản lý và giáo dục tác phong học tập, nếp sống văn minh, nội quy học đường cho học sinh, sinh viên.",659,165,https://hus.vnu.edu.vn/hoc-sinh-sinh-vien/gioi-thieu-chung,Học sinh - Sinh viên,lecturer_profile,data\raw\web\2026-05-17\hus.vnu.edu.vn\hoc-sinh-sinh-vien__gioi-thieu-chung\index.html
chunk_3d4ce3e36f224aa3c7ae,doc_bb228fb7488deb48d6d2,6,"Trường Đại học Khoa học Tự nhiên thường xuyên tổ chức các hoạt động nhằm giáo dục chính trị - tư tưởng, đạo đức, lối sống; cũng như luôn quan tâm đến công tác quản lý và giáo dục tác phong học tập, nếp sống văn minh, nội quy học đường cho học sinh, sinh viên. Phòng Chính trị và Công tác sinh viên phối hợp với Đoàn Thanh niên, Hội sinh viên triển khai hệ thống sinh viên nòng cốt kịp thời nắm bắt diễn biến và tình hình chính trị tư tưởng trong sinh viên. Đoàn thanh niên đã xây dựng chuyên mục riêng nhằm giải đáp các thắc mắc của sinh viên.
Các hoạt động của học sinh sinh viên thường xuyên được cập nhật trên trang fanpage của Phòng Chính trị và Công tác sinh viên tại địa chỉ
và trang fanpage của Đoàn thanh niên - Hội sinh viên Trường Đại học Khoa học Tự nhiên tại địa chỉ",778,194,https://hus.vnu.edu.vn/hoc-sinh-sinh-vien/gioi-thieu-chung,Học sinh - Sinh viên,lecturer_profile,data\raw\web\2026-05-17\hus.vnu.edu.vn\hoc-sinh-sinh-vien__gioi-thieu-chung\index.html
chunk_ad0eb0ca9d92c563fcca,doc_bb228fb7488deb48d6d2,7,"Các hoạt động của học sinh sinh viên thường xuyên được cập nhật trên trang fanpage của Phòng Chính trị và Công tác sinh viên tại địa chỉ
và trang fanpage của Đoàn thanh niên - Hội sinh viên Trường Đại học Khoa học Tự nhiên tại địa chỉ
Kế hoạch công tác học sinh sinh viên cập nhật theo năm học tại đây
Thông tin mới nhất của Trường ĐHKHTN
Tổng số người học (học sinh, sinh viên, học viên sau đại học) đang theo học
Số sinh viên đại học chính quy đang theo học
Số sinh viên sau đại học (cao học, nghiên cứu sinh hoặc tương đương) chính quy đang theo học
Số học sinh THPT Chuyên đang theo học
Tỷ lệ sinh viên chính quy ra trường có việc làm sau 12 tháng kể từ ngày tốt nghiệp (nếu có)
TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐẠI HỌC QGHN",730,182,https://hus.vnu.edu.vn/hoc-sinh-sinh-vien/gioi-thieu-chung,Học sinh - Sinh viên,lecturer_profile,data\raw\web\2026-05-17\hus.vnu.edu.vn\hoc-sinh-sinh-vien__gioi-thieu-chung\index.html
chunk_5e122570452d589543c5,doc_bb228fb7488deb48d6d2,8,"Tỷ lệ sinh viên chính quy ra trường có việc làm sau 12 tháng kể từ ngày tốt nghiệp (nếu có)
TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐẠI HỌC QGHN
Trường ĐHKTN ra đời là sự tiếp nối, kế thừa và phát huy truyền thống hơn 55 của Trường ĐHTH Hà Nội - Trường đại học đầu tiên và lớn nhât của đất nước",289,72,https://hus.vnu.edu.vn/hoc-sinh-sinh-vien/gioi-thieu-chung,Học sinh - Sinh viên,lecturer_profile,data\raw\web\2026-05-17\hus.vnu.edu.vn\hoc-sinh-sinh-vien__gioi-thieu-chung\index.html
chunk_0e0636945eb93dc24780,doc_3661b5a22a8294fec8bf,0,"Các quy chế, quy định
I. Các quy chế, quy định về Công tác sinh viên
1. Các Quy định có liên quan về công tác HSSV
Quy chế công tác sinh viên ở Đại học Quốc gia Hà Nội.
Quy chế Công tác sinh viên của Bộ Giáo dục và Đào tạo
Quy chế đánh giá điểm rèn luyện đối với sinh viên đại học chính quy của Bộ Giáo dục và Đào tạo.
2. Các Quy định có liên quan về Học phí
Nghị định số 97/2023/NĐ-CP ngày 31/12/2023 của Thủ tướng Chính phủ về việc sửa đổi, bổ sung một số điều của Nghị định số 81/2021/NĐ-CP ngày 27 tháng 8 năm 2021 của Chính phủ quy định về cơ chế thu, quản lý học phí đối với cơ sở giáo dục thuộc hệ thống giáo dục quốc dân và chính sách miễn, giảm học phí, hỗ trợ chi phí học tập; giá dịch vụ trong lĩnh vực giáo dục, đào tạo.",732,183,https://hus.vnu.edu.vn/hoc-sinh-sinh-vien/quy-che-quy-dinh,"Quy chế, quy định",program,data\raw\web\2026-05-17\hus.vnu.edu.vn\hoc-sinh-sinh-vien__quy-che-quy-dinh\index.html
