document_id,title,file_name,file_type,extension,category,data_role,is_content_document,is_manifest_file,is_system_file,is_archive_file,is_processable,relative_path,local_path,source_url,source_domain,language,file_size_bytes,checksum_sha256,is_public,access_note,ingested_at,ingestion_status,issues,page_count,text_sample_length
doc_69dd6cd015a9652f,README_DATA_RAW,README_DATA_RAW.md,md,.md,khac,system,False,False,True,False,False,README_DATA_RAW.md,D:\DM\lumi\data\raw\README_DATA_RAW.md,,,vi,2984,b0415e003f13112335de0c6dcbdc9575449c0d62f6a82a18a5b95ec029737752,True,public/local educational dataset,2026-05-18T09:51:54.392048+00:00,warning,['md_not_processed_by_default'],0,0
doc_afe9eda168b2fc72,data_raw_manifest,data_raw_manifest.csv,csv,.csv,khac,manifest,False,True,False,False,True,csv/data_raw_manifest.csv,D:\DM\lumi\data\raw\csv\data_raw_manifest.csv,,,vi,50029,fe7b2f18b93a389e88e26d107b347095b860563be991f0f71440abd85ab4eaa0,True,public/local educational dataset,2026-05-18T09:51:54.393048+00:00,ok,[],0,2819
doc_9aea022b13d1dc38,data_raw,data_raw.zip,archive,.zip,khac,archive,False,False,False,True,False,data_raw.zip,D:\DM\lumi\data\raw\data_raw.zip,,,vi,109063361,6c8aa9d0ffa0e5316d772859b4a308ff24555557f891587326089ba43f36ac10,True,public/local educational dataset,2026-05-18T09:51:54.393048+00:00,warning,"['archive_not_processed_by_default', 'large_file']",0,0
doc_560578e1394f562e,data_raw_manifest,data_raw_manifest.xlsx,xlsx,.xlsx,khac,manifest,False,True,False,False,True,excel/data_raw_manifest.xlsx,D:\DM\lumi\data\raw\excel\data_raw_manifest.xlsx,,,vi,17647,b9c9e71f18f477df648a09d71077f30b3e37210b4ee3e0def0f34d24cc342759,True,public/local educational dataset,2026-05-18T09:51:54.399792+00:00,ok,[],0,2804
doc_09b9d4fe8934abac,"Quản lý, Công nghệ Tài nguyên môi trường và Địa chất",hus.vnu.edu.vn__dao-tao__bac-dai-hoc__dia-chat.html,html,.html,dao_tao,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__dao-tao__bac-dai-hoc__dia-chat.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__dao-tao__bac-dai-hoc__dia-chat.html,https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/dia-chat,hus.vnu.edu.vn,vi,49308,eb68c4e1427862f27aae1b3e8ce251fc016b6a8cf4efaf93890e8e73741e9b36,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.536229+00:00,ok,[],0,739
doc_b4ba45cd112e263b,"Địa lý, Quản lý đất đai và GISc",hus.vnu.edu.vn__dao-tao__bac-dai-hoc__dia-ly.html,html,.html,dao_tao,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__dao-tao__bac-dai-hoc__dia-ly.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__dao-tao__bac-dai-hoc__dia-ly.html,https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/dia-ly,hus.vnu.edu.vn,vi,49609,6cba89be8bc40a3b41bb4a5e3ff1a426d4402f354f85e2437c3d6b581c91befe,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.549558+00:00,ok,[],0,766
doc_55c09ed845eaec83,Hóa học và Công nghệ,hus.vnu.edu.vn__dao-tao__bac-dai-hoc__hoa-hoc.html,html,.html,dao_tao,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__dao-tao__bac-dai-hoc__hoa-hoc.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__dao-tao__bac-dai-hoc__hoa-hoc.html,https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/hoa-hoc,hus.vnu.edu.vn,vi,50585,8e91bcabe362dc8bebd61297e2a90d82ae335ab436d4bda6e6f3799d3a39722e,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.563534+00:00,ok,[],0,939
doc_05db486ad28a6820,"Khí tượng, Khoa học và Công nghệ biển, Tài nguyên và Môi trường nước",hus.vnu.edu.vn__dao-tao__bac-dai-hoc__khi-tuong-thuy-van-hai-duong-hoc.html,html,.html,dao_tao,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__dao-tao__bac-dai-hoc__khi-tuong-thuy-van-hai-duong-hoc.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__dao-tao__bac-dai-hoc__khi-tuong-thuy-van-hai-duong-hoc.html,https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/khi-tuong-thuy-van-hai-duong-hoc,hus.vnu.edu.vn,vi,49882,546c6ec7200865d4528a1d6695af4c6a538abd490ebc8707b11275d3dedced92,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.577974+00:00,ok,[],0,825
doc_36d083c85426ae15,"Khoa học, Công nghệ Môi trường và Thực phẩm",hus.vnu.edu.vn__dao-tao__bac-dai-hoc__moi-truong.html,html,.html,dao_tao,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__dao-tao__bac-dai-hoc__moi-truong.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__dao-tao__bac-dai-hoc__moi-truong.html,https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/moi-truong,hus.vnu.edu.vn,vi,49659,c0709e205ec57d584f8e43a416a0ba04ec50eea5cd18c98da3152e5ba249b375,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.591926+00:00,ok,[],0,786
doc_8b258c1379f95b5f,Sinh học và Công nghệ,hus.vnu.edu.vn__dao-tao__bac-dai-hoc__sinh-hoc.html,html,.html,dao_tao,content,True,False,False,False,True,html/public_pages/hus.vnu.edu.vn__dao-tao__bac-dai-hoc__sinh-hoc.html,D:\DM\lumi\data\raw\html\public_pages\hus.vnu.edu.vn__dao-tao__bac-dai-hoc__sinh-hoc.html,https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/sinh-hoc,hus.vnu.edu.vn,vi,49788,1706f44a04e1aea324aba15dace411c8225be2722f15f0abb0ddd7d008a2569b,True,Nguồn public truy cập không cần đăng nhập; chỉ dùng cho học tập/nghiên cứu.,2026-05-18T09:51:54.604977+00:00,ok,[],0,774
