document_id,title,source_url,source_domain,file_type,local_path,raw_path,processed_path,language,category,collected_at,file_size_bytes,text_length_chars,estimated_tokens,page_count,needs_ocr,checksum_sha256,license_or_access_note,is_public,notes,text_export_path
doc_bb228fb7488deb48d6d2,Học sinh - Sinh viên,https://hus.vnu.edu.vn/hoc-sinh-sinh-vien/gioi-thieu-chung,hus.vnu.edu.vn,html,data\raw\web\2026-05-17\hus.vnu.edu.vn\hoc-sinh-sinh-vien__gioi-thieu-chung\index.html,data\raw\web\2026-05-17\hus.vnu.edu.vn\hoc-sinh-sinh-vien__gioi-thieu-chung\index.html,data/processed/documents/2026-05-17/processed_documents.jsonl,vi,lecturer_profile,2026-05-17T16:29:46.433294+00:00,68548,4215,1054,,False,f07aaa288253060b1e21abb01129bdfd9af033816e0e8991b9ff45977e33d9f0,Public web/PDF access without login from HUS/VNU-HUS domain; keep source citation.,True,processed,data\raw\text\curated\doc_bb228fb7488deb48d6d2.txt
doc_3661b5a22a8294fec8bf,"Quy chế, quy định",https://hus.vnu.edu.vn/hoc-sinh-sinh-vien/quy-che-quy-dinh,hus.vnu.edu.vn,html,data\raw\web\2026-05-17\hus.vnu.edu.vn\hoc-sinh-sinh-vien__quy-che-quy-dinh\index.html,data\raw\web\2026-05-17\hus.vnu.edu.vn\hoc-sinh-sinh-vien__quy-che-quy-dinh\index.html,data/processed/documents/2026-05-17/processed_documents.jsonl,vi,program,2026-05-17T16:29:46.555876+00:00,61653,1710,428,,False,2801172404d059730747d2bd9b59f001080eaf528f0932607820154761cc5dc4,Public web/PDF access without login from HUS/VNU-HUS domain; keep source citation.,True,processed,data\raw\text\curated\doc_3661b5a22a8294fec8bf.txt
doc_27e30d3d9376b10d2e06,Giới thiệu chung,https://hus.vnu.edu.vn/dao-tao/gioi-thieu-chung,hus.vnu.edu.vn,html,data\raw\web\2026-05-17\hus.vnu.edu.vn\dao-tao__gioi-thieu-chung\index.html,data\raw\web\2026-05-17\hus.vnu.edu.vn\dao-tao__gioi-thieu-chung\index.html,data/processed/documents/2026-05-17/processed_documents.jsonl,vi,lecturer_profile,2026-05-17T16:29:37.092249+00:00,69105,3371,843,,False,38b9ee6a8f3ffe929401ff338fefef3a38133fb98a1960c64319ee0ee3b5f3e1,Public web/PDF access without login from HUS/VNU-HUS domain; keep source citation.,True,processed,data\raw\text\curated\doc_27e30d3d9376b10d2e06.txt
doc_e7c5d0c77cb56de6c755,Hội đồng Khoa học Đào tạo,https://hus.vnu.edu.vn/gioi-thieu/can-bo/hoi-dong-khoa-hoc-dao-tao,hus.vnu.edu.vn,html,data\raw\web\2026-05-17\hus.vnu.edu.vn\gioi-thieu__can-bo__hoi-dong-khoa-hoc-dao-tao\index.html,data\raw\web\2026-05-17\hus.vnu.edu.vn\gioi-thieu__can-bo__hoi-dong-khoa-hoc-dao-tao\index.html,data/processed/documents/2026-05-17/processed_documents.jsonl,vi,lecturer_profile,2026-05-17T16:29:35.628239+00:00,75411,983,246,,False,53d011f060b928192b10e155ece6a4de62b4b094e1f5d53ac9edb793ef6062e8,Public web/PDF access without login from HUS/VNU-HUS domain; keep source citation.,True,processed,data\raw\text\curated\doc_e7c5d0c77cb56de6c755.txt
doc_9ea935dffbbd8ee2c2d6,Ban Giám Hiệu Trường,https://hus.vnu.edu.vn/gioi-thieu/co-cau-to-chuc/ban-giam-hieu,hus.vnu.edu.vn,html,data\raw\web\2026-05-17\hus.vnu.edu.vn\gioi-thieu__co-cau-to-chuc__ban-giam-hieu\index.html,data\raw\web\2026-05-17\hus.vnu.edu.vn\gioi-thieu__co-cau-to-chuc__ban-giam-hieu\index.html,data/processed/documents/2026-05-17/processed_documents.jsonl,vi,leadership,2026-05-17T16:29:34.731339+00:00,89879,501,125,,False,becf1e1d677c954f389f06821ce8a74748687c57ef0577dfac522eeb078190c6,Public web/PDF access without login from HUS/VNU-HUS domain; keep source citation.,True,processed,data\raw\text\curated\doc_9ea935dffbbd8ee2c2d6.txt
doc_c678b3b190fc655993fc,Học sinh - Sinh viên,https://hus.vnu.edu.vn/hoc-sinh-sinh-vien,hus.vnu.edu.vn,html,data\raw\web\2026-05-17\hus.vnu.edu.vn\hoc-sinh-sinh-vien\index.html,data\raw\web\2026-05-17\hus.vnu.edu.vn\hoc-sinh-sinh-vien\index.html,data/processed/documents/2026-05-17/processed_documents.jsonl,vi,lecturer_profile,2026-05-17T16:29:46.289732+00:00,70579,4224,1056,,False,579db73f2f71d4769ea2f5500e6c1a240430bf967c75ca7c7a949be77d48344b,Public web/PDF access without login from HUS/VNU-HUS domain; keep source citation.,True,processed,data\raw\text\curated\doc_c678b3b190fc655993fc.txt
doc_978c9a3b9a26bc0ff5b0,Khoa học - Công nghệ,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/gioi-thieu-chung,hus.vnu.edu.vn,html,data\raw\web\2026-05-17\hus.vnu.edu.vn\khoa-hoc-cong-nghe__gioi-thieu-chung\index.html,data\raw\web\2026-05-17\hus.vnu.edu.vn\khoa-hoc-cong-nghe__gioi-thieu-chung\index.html,data/processed/documents/2026-05-17/processed_documents.jsonl,vi,general_info,2026-05-17T16:29:41.127548+00:00,56864,1304,326,,False,ffd6d172ed1ffcf0d008bcd8de749a0d4d88d7487d35f3aa9682d3cfe180d488,Public web/PDF access without login from HUS/VNU-HUS domain; keep source citation.,True,processed,data\raw\text\curated\doc_978c9a3b9a26bc0ff5b0.txt
doc_91eb43497dc0f5e9741f,Trường Đại học Khoa học Tự nhiên | ĐHQGHN,http://tuyensinh.hus.vnu.edu.vn/,tuyensinh.hus.vnu.edu.vn,html,data\raw\web\2026-05-17\tuyensinh.hus.vnu.edu.vn\root\index.html,data\raw\web\2026-05-17\tuyensinh.hus.vnu.edu.vn\root\index.html,data/processed/documents/2026-05-17/processed_documents.jsonl,vi,quality_assurance,2026-05-17T16:29:40.922587+00:00,162634,19881,4970,,False,6169e05ed5d559a94b5e97931def69ea03317c3ac382acdd84a003fb0b28ebad,Public web/PDF access without login from HUS/VNU-HUS domain; keep source citation.,True,processed,data\raw\text\curated\doc_91eb43497dc0f5e9741f.txt
doc_b739dcd79e8232997255,"Quản lý, Công nghệ Tài nguyên môi trường và Địa chất",https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/dia-chat,hus.vnu.edu.vn,html,data\raw\web\2026-05-17\hus.vnu.edu.vn\dao-tao__bac-dai-hoc__dia-chat\index.html,data\raw\web\2026-05-17\hus.vnu.edu.vn\dao-tao__bac-dai-hoc__dia-chat\index.html,data/processed/documents/2026-05-17/processed_documents.jsonl,vi,program,2026-05-17T16:29:38.567658+00:00,49308,233,58,,False,eb68c4e1427862f27aae1b3e8ce251fc016b6a8cf4efaf93890e8e73741e9b36,Public web/PDF access without login from HUS/VNU-HUS domain; keep source citation.,True,processed,data\raw\text\curated\doc_b739dcd79e8232997255.txt
doc_522092b3afcb92960052,"Địa lý, Quản lý đất đai và GISc",https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/dia-ly,hus.vnu.edu.vn,html,data\raw\web\2026-05-17\hus.vnu.edu.vn\dao-tao__bac-dai-hoc__dia-ly\index.html,data\raw\web\2026-05-17\hus.vnu.edu.vn\dao-tao__bac-dai-hoc__dia-ly\index.html,data/processed/documents/2026-05-17/processed_documents.jsonl,vi,program,2026-05-17T16:29:38.314269+00:00,49609,257,64,,False,6cba89be8bc40a3b41bb4a5e3ff1a426d4402f354f85e2437c3d6b581c91befe,Public web/PDF access without login from HUS/VNU-HUS domain; keep source citation.,True,processed,data\raw\text\curated\doc_522092b3afcb92960052.txt
